name;averAge;healthCare;transport;climate;lambda;mi;population
Afghanistan;17.299999;11.7771938443184;1.81;Arid;;;37172386
Albania;36.200001;7.82344814299583;2.29;Temperate;;;2866376
Algeria;27.5;6.37432187795639;2.42;Arid;;;42228429
Angola;16.4;2.79150027781725;1.86;Arid;;;30809762
Antigua and Barbuda;30.700001;4.53353188931942;2.34;Tropical;;;96286
Argentina;30.799999;9.12431478500366;2.77;Temperate;;;44494502
Armenia;33.900002;10.3627048432827;2.48;Continental;;;2951776
Aruba;40.099998;3.18121011182666;3.11;Tropical;;;105845
Australia;37.400002;9.20594781637192;3.97;Arid;;;24982688
Austria;43.200001;10.3966169059277;4.18;Temperate;;;8840521
Azerbaijan;30.299999;6.65182918310165;2.54;Arid;;;9939800
Bahamas;32.5;5.75888901948929;2.41;Tropical;;;385640
Bahrain;31.200001;4.74810488522053;2.72;Arid;;;1569439
Bangladesh;25.6;2.27424874901772;2.39;Tropical;;;161356039
Barbados;38.5;6.77912682294846;2.37;Tropical;;;286641
Belarus;39.599998;5.92578575015068;2.44;Continental;;;9483499
Belgium;41.299999;10.338669270277;3.98;Temperate;;;11433256
Belize;23.5;5.64282275736332;2.3;Tropical;;;383071
Benin;18.200001;3.71858216822147;2.5;Tropical;;;11485048
Bermuda;43.5;8.98765321654688;1.56;Tropical;;;63973
Bhutan;26.299999;3.18696238100529;1.91;Tropical;;;754394
Bolivia;24.1;6.44316077232361;2.15;Tropical;;;11353142
Bosnia and Herzegovina;41;8.93166735768318;2.42;Arid;;;3323929
Botswana;24.4;6.13456815481186;2.04;Arid;;;2254126
Brazil;31.299999;9.46747660636902;2.93;Tropical;;;209469333
Brunei;30;2.37320773303509;2.46;Tropical;;;428962
Bulgaria;43.5;8.09560343623161;2.76;Temperate;;;7025037
Burkina Faso;17;6.91505968570709;2.43;Tropical;;;19751535
Burundi;17.6;7.51757025718689;1.95;Tropical;;;11175378
Cambodia;24;5.91884180903435;2.14;Tropical;;;16249798
Cameroon;18.299999;4.67066690325737;2.57;Tropical;;;25216237
Canada;40.5;10.5727694928646;3.75;Temperate;;;37057765
Cabo Verde;23.799999;5.16548864543438;2.62;Temperate;;;543767
Caribbean small states;30.299999;6.15323781231142;2.3;Tropical;;;7358965
Central African Republic;17.799999;5.82177564501762;1.93;Tropical;;;4666377
Chad;16.1;4.48730140924454;2.37;Tropical;;;15477751
Channel Islands;42.700001;3.86516523168445;3.4;Temperate;;;170499
Chile;33.700001;8.9835099875927;3.21;Temperate;;;18729160
China;37;5.15119321644306;3.75;Tropical;;;1392730000
Colombia;30.1;7.22628086805344;2.67;Tropical;;;49648685
Comoros;19.700001;7.3843739926815;2.25;Tropical;;;832322
Congo;18.9;3.97872291505337;2.12;Tropical;;;84068091
Costa Rica;31.4;7.32879638671875;2.49;Tropical;;;4999441
