english,polish
English,Angielski
Polish,Polski
Return,Powrót
Choose a disease,Wybierz zarazę
Custom simulation,Własna symulacja
Language,Język
About simulation,O symulacji
Exit,Wyjście
Authors,Autorzy
About application,O applikacji
Confirm,Potwierdź
susceptible,Podatni
exposed,Narażeni
infectious,Zarażający
recovered,Zdrowi
dead,Martwi
Number of people,Liczba ludzi
Time,Czas
in days,w dniach
Afghanistan,Afganistan
Albania,
Algeria,
Angola,
Argentina,Argentyna
Armenia,
Australia,
Austria,
Azerbaijan,Azerbejdżan
Bahamas,Bahamy
Bangladesh,Bangladesz
Belarus,Białoruś
Belgium,Belgia
Belize,Beliz
Benin,
Bhutan,
Bolivia,Boliwia
Bosnia and Herz.,Bośnia i Hercegowina
Botswana
Brazil,Brazylia
Brunei
Bulgaria,Bułgaria
Burkina Faso
Burundi
Cambodia,Kambodża
Cameroon,Kamerun
Canada,Kanada
Central African Rep.,RPA
Chad,Czad
Chile,Chile
China,Chiny
Colombia,Kolumbia
Congo,Kongo
Costa Rica
Croatia,Chorwacja
Cuba,Kuba
Cyprus,Cypr
Czechia,Czechy
Côte d'Ivoire,Wybrzeże Kości Słoniowej
Dem. Rep. Congo,Dem. Rep. Konga
Denmark,Dania
Djibouti,Dżibuti
Dominican Rep.,Dominikana
Ecuador,Ekwador
Egypt,Egipt
El Salvador,Salwador
Eq. Guinea,Gwinea Równikowa
Eritrea,Erytrea
Estonia,
Ethiopia,Etiopia
Fiji,Fidżi
Finland,Finlandia
France,Francja
Gabon
Gambia
Georgia,Gruzja
Germany,Niemcy
Ghana
Greece,Grecja
Greenland,Grendlandia
Guatemala,Gwatemala
Guinea,Gwinea
Guinea-Bissau,Gwinea Bissau
Guyana,Gujana
Haiti,
Honduras,
Hungary,Węgry
Iceland,Islandia
India,
Indonesia,Indonezja
Iran,
Iraq,Irak
Ireland,Irlandia
Israel,Izrael
Italy,Włochy
Jamaica,Jamajka
Japan,Japonia
Jordan,Jordania
Kazakhstan,Kazachstan
Kenya,Kenia
Kosovo,Kosowa
Kuwait,Kuwejt
Kyrgyzstan,Kirgistan
Laos,
Latvia,Łotwa
Lebanon,
Lesotho,
Liberia,
Libya,Libia
Lithuania,Litwa
Luxembourg,Luksemburg
Macedonia
Madagascar,Madagaskar
Malawi,
Malaysia,Malezja
Mali,
Mauritania,Mauritania
Mexico,Meksyk
Moldova,Mołdawia
Mongolia,
Montenegro,Czarnogóra
Morocco,Maroko
Mozambique,Mazambik
Myanmar,Myanma
Namibia,
Nepal,
Netherlands,Holandia
New Caledonia,Nowa Kaledonia
New Zealand,Nowa Zelandia
Nicaragua,Nikaragua
Niger
Nigeria
North Korea,Korea Północna
Norway,Norwegia
Oman
Pakistan
Panama
Papua New Guinea,Papua Nowa Gwinea
Paraguay,Paragway
Peru,
Philippines,Filipiny
Poland,Polska
Portugal,Portugalia
Puerto Rico,
Qatar,Katar
Romania,Rumunia
Russia,Rosja
Rwanda,
S. Sudan,Poł. Sudan
Saudi Arabia,Arabia Saudyjska
Senegal,
Serbia,
Sierra Leone,
Slovakia,Słowacja
Slovenia,Słowenia
Solomon Is.,Wyspy Salomona
Somalia,
Somaliland
South Africa,Afryka Południowa
South Korea,Korea Południowa
Spain,Hiszpania
Sri Lanka,
Sudan,
Suriname,Surinam
Sweden,Szwecja
Switzerland,Szwajcaria
Syria,
Tajikistan,Tadżikistan
Tanzania,
Thailand,Tailandia
Timor-Leste,Timor Wschodni
Togo,
Trinidad and Tobago,Trinidad i Tobago
Tunisia,Tunezja
Turkey,Turcja
Turkmenistan,
Uganda,
Ukraine,Ukraina
United Arab Emirates,Zjednoczone Emiraty Arabskie
United Kingdom,Zjednoczone Królestwo
United States of America,Stany Zjednoczone
Uruguay,Urugwaj
Uzbekistan,
Vanuatu,
Venezuela,Wenezuala
Vietnam,Wietnam
Yemen,Jemen
Zambia,
Zimbabwe,
measles,Odra
chickenpox,Ospa wietrzna
mumps,Świnka
polio,Polio
rubella,Różyczka
pertussis,Krztusiec
COVID-19,COVID-19
smallpox,Ospa prawdziwa
AIDS,AIDS
SARS,SARS
diphtheria,Błonnica
Spanish flu,Hiszpanka
Ebola,Ebola
MERS,MERS
malaria,malaria
